index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,4,193,993,126.812,0.00235495,1
1,4,193,1041,159.305,0.0024903,1
2,4,193,1033,118.311,0.00263139,1
3,4,193,1067,142.853,0.00270505,1
4,4,193,973,141.42,0.00242236,1
5,10,1766,7880,112.486,0.0206107,1
6,10,1766,7862,100.937,0.0208172,1
7,10,1766,7879,110.095,0.0209598,1
8,10,1766,7819,109.202,0.0208336,1
9,10,1766,7816,114.098,0.0203457,1
10,9,702,4346,115.068,0.00998381,1
11,9,702,4465,123.524,0.0105655,1
12,9,702,4571,130.753,0.0104762,1
13,9,702,4512,117.431,0.0109242,1
14,9,702,4493,113.029,0.0101841,1
15,4,1474,9270,92.1617,0.0229701,1
16,4,1474,9292,100.789,0.0229693,1
17,4,1474,9322,97.9783,0.0225427,1
18,4,1474,9270,93.6255,0.0228556,1
19,4,1474,9225,95.4315,0.0235041,1
20,6,512,3022,110.246,0.00704482,1
21,6,512,3139,105.499,0.00735696,1
22,6,512,3087,101.088,0.00699888,1
23,6,512,3132,102.736,0.00743178,1
24,6,512,3098,91.041,0.00749278,1
25,5,447,1883,105.489,0.00494232,1
26,5,447,2074,120.735,0.00528434,1
27,5,447,2014,121.016,0.00513953,1
28,5,447,1988,139.186,0.00507044,1
29,5,447,1900,101.309,0.00500148,1
30,8,990,6432,121.778,0.0148425,1
31,8,990,6357,124.005,0.0155381,1
32,8,990,6388,110.697,0.015663,1
33,8,990,6380,121.109,0.0159262,1
34,8,990,6209,115.708,0.0150642,1
35,5,124,514,105.427,0.00132922,1
36,5,124,516,96.9113,0.00131048,1
37,5,124,514,88.1371,0.00166459,1
38,5,124,504,118.54,0.00126731,1
39,5,124,510,79.6911,0.00126286,1
40,5,1517,9267,102.394,0.022789,1
41,5,1517,9268,94.5117,0.0228491,1
42,5,1517,9310,98.3471,0.0257069,1
43,5,1517,9385,97.404,0.0234249,1
44,5,1517,9206,92.2179,0.0238393,1
45,10,1054,5168,143.493,0.013393,1
46,10,1054,5161,127.97,0.0137222,1
47,10,1054,5061,137.859,0.0136429,1
48,10,1054,5084,132.991,0.0130446,1
49,10,1054,5045,142.997,0.0124668,1
