index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,4,193,993,68.3077,0.0103376,1
1,4,193,1041,67.0566,0.011411,1
2,4,193,1033,58.9286,0.0114792,1
3,4,193,1067,76.5833,0.0120529,1
4,4,193,973,81.1915,0.0103931,1
5,10,1766,7880,91.0435,0.374055,1
6,10,1766,7862,84.9855,0.329311,1
7,10,1766,7879,86.1194,0.377116,1
8,10,1766,7819,91.2253,0.351364,1
9,10,1766,7816,95.6552,0.324026,1
10,9,702,4346,58.8933,0.35142,1
11,9,702,4465,56.6154,0.373784,1
12,9,702,4571,53.4318,0.463133,1
13,9,702,4512,57.2645,0.391502,1
14,9,702,4493,53.2636,0.433797,1
15,4,1474,9270,59.0612,0.140518,1
16,4,1474,9292,65.98,0.136958,1
17,4,1474,9322,63.3208,0.151078,1
18,4,1474,9270,58.8276,0.135083,1
19,4,1474,9225,59.2857,0.136449,1
20,6,512,3022,65.973,0.0925951,1
21,6,512,3139,65.4938,0.0975227,1
22,6,512,3087,62.9259,0.0973031,1
23,6,512,3132,67.7183,0.0963602,1
24,6,512,3098,67.6944,0.0925255,1
25,5,447,1883,88.1026,0.0214655,1
26,5,447,2074,77.186,0.0257961,1
27,5,447,2014,78.5333,0.0244057,1
28,5,447,1988,89.05,0.0218601,1
29,5,447,1900,72.2857,0.0216251,1
30,8,990,6432,62.7674,0.37994,1
31,8,990,6357,62.819,0.395797,1
32,8,990,6388,64.1978,0.378478,1
33,8,990,6380,65.3977,0.443197,1
34,8,990,6209,62.2809,0.377338,1
35,5,124,514,63.0976,0.0042522,1
36,5,124,516,65.2162,0.00475259,1
37,5,124,514,58.9565,0.00494239,1
38,5,124,504,78.1892,0.00500093,1
39,5,124,510,62.2,0.00476971,1
40,5,1517,9267,54.6377,0.410244,1
41,5,1517,9268,49.1061,0.451287,1
42,5,1517,9310,48.716,0.452002,1
43,5,1517,9385,42.8537,0.428946,1
44,5,1517,9206,48.8837,0.447312,1
45,10,1054,5168,77.8816,0.260206,1
46,10,1054,5161,75.6947,0.253395,1
47,10,1054,5061,77.3781,0.221801,1
48,10,1054,5084,88.2917,0.256013,1
49,10,1054,5045,71.9775,0.220665,1
50,3,912,5219,63.75,0.0376494,1
51,3,912,5224,66.6,0.0375589,1
52,3,912,5082,69.3333,0.035234,1
53,3,912,5144,71.0857,0.0359526,1
54,3,912,5258,67.6897,0.0386053,1
55,9,1148,6304,60.3451,0.500548,1
56,9,1148,6422,69.7434,0.480085,1
57,9,1148,6426,55.1754,0.539262,1
58,9,1148,6382,59.6122,0.495057,1
59,9,1148,6453,61.2778,0.502537,1
60,3,1275,7744,76.0857,0.0693905,1
61,3,1275,8010,67.6923,0.069742,1
62,3,1275,7765,83.0303,0.0648005,1
63,3,1275,7950,60.1628,0.0663857,1
64,3,1275,7805,66.7857,0.065701,1
65,10,109,688,84.967,0.016472,1
66,10,109,722,63.7045,0.0191866,1
67,10,109,715,92.9011,0.0158117,1
68,10,109,710,62.4375,0.0160438,1
69,10,109,676,66.6705,0.0184515,1
70,9,439,2577,59.5111,0.2382,1
71,9,439,2525,58.8205,0.249511,1
72,9,439,2572,61.9389,0.239284,1
73,9,439,2566,51.7294,0.244764,1
74,9,439,2613,61.6106,0.253361,1
75,6,1086,3092,158.56,0.033737,1
76,6,1086,3051,154.353,0.0307601,1
77,6,1086,2998,152.552,0.0299388,1
78,6,1086,3055,143.667,0.0301922,1
79,6,1086,3072,183.652,0.0304891,1
80,9,680,4026,68.5258,0.265309,1
81,9,680,4108,67.3226,0.245269,1
82,9,680,4083,67.2407,0.250134,1
83,9,680,4201,63,0.290297,1
84,9,680,4080,68.1818,0.274779,1
85,6,306,1424,53.5053,0.0540415,1
86,6,306,1413,52.908,0.0611762,1
87,6,306,1456,55.3529,0.0653705,1
88,6,306,1455,53.5962,0.058442,1
89,6,306,1433,54.0455,0.0569699,1
90,3,906,3464,159.455,0.0210071,1
91,3,906,3502,178.909,0.0197389,1
92,3,906,3373,249,0.0199229,1
93,3,906,3585,195.111,0.0213462,1
94,3,906,3411,175.833,0.0202073,1
95,8,484,3491,53.5739,0.348595,1
96,8,484,3509,53.4545,0.341283,1
97,8,484,3503,48.5154,0.335547,1
98,8,484,3407,53.776,0.31957,1
99,8,484,3492,54.0923,0.317308,1
100,8,753,3812,104.84,0.151339,1
101,8,753,3921,95.5273,0.155469,1
102,8,753,3900,84.9808,0.133932,1
103,8,753,3794,103.679,0.14627,1
104,8,753,3826,93.2679,0.138423,1
105,10,1352,9565,46.1864,2.17875,1
106,10,1352,9345,47.2746,1.95671,1
107,10,1352,9540,48.4245,2.1017,1
108,10,1352,9546,46.5697,2.24385,1
109,10,1352,9474,43.0059,2.25725,1
110,5,821,3773,75.6111,0.0621821,1
111,5,821,3707,70.8704,0.0571997,1
112,5,821,3746,65.8958,0.0590748,1
113,5,821,3787,71.7358,0.0602544,1
114,5,821,3668,61.6667,0.0580506,1
115,9,367,2380,41.3377,0.334093,1
116,9,367,2478,40.1056,0.376663,1
117,9,367,2374,43.2324,0.328395,1
118,9,367,2431,39.3697,0.359336,1
119,9,367,2497,44.3092,0.387755,1
120,5,1194,4838,162.381,0.0592656,1
121,5,1194,4901,138.105,0.0599156,1
122,5,1194,4981,120.957,0.0615888,1
123,5,1194,4886,119.455,0.0608243,1
124,5,1194,4801,144.647,0.0578998,1
125,5,642,3814,60.0441,0.110117,1
126,5,642,3823,65.3939,0.103244,1
127,5,642,3771,54.726,0.110947,1
128,5,642,3828,62.5672,0.101583,1
129,5,642,3786,70.0645,0.0999244,1
130,7,1615,11507,60.92,0.797075,1
131,7,1615,11668,55.6346,0.916697,1
132,7,1615,11592,57.9905,0.802979,1
133,7,1615,11589,60.593,0.804507,1
134,7,1615,11520,59.604,0.772646,1
135,3,1480,7818,74.6286,0.0689941,1
136,3,1480,7575,78.3235,0.067208,1
137,3,1480,7787,81.8095,0.0686253,1
138,3,1480,7604,73.9412,0.0658934,1
139,3,1480,7798,80.7647,0.072885,1
140,3,923,4148,84.4091,0.0275216,1
141,3,923,4080,99.6154,0.0268595,1
142,3,923,4112,77,0.0265719,1
143,3,923,4173,80.6471,0.0272039,1
144,3,923,4228,87.5385,0.0267998,1
145,10,159,491,90.5,0.0117937,1
146,10,159,487,108,0.0104578,1
147,10,159,497,86.2373,0.0105893,1
148,10,159,480,66.2373,0.0083928,1
149,10,159,489,58.873,0.0104509,1
150,9,299,1765,58.8365,0.108096,1
151,9,299,1779,60.5965,0.100753,1
152,9,299,1751,55.3761,0.105677,1
153,9,299,1753,53.1345,0.0961335,1
154,9,299,1700,46.8191,0.0893465,1
155,9,1447,9454,63.1947,0.853771,1
156,9,1447,9390,57.9573,0.9124,1
157,9,1447,9482,52.9464,0.907512,1
158,9,1447,9530,60.1692,0.815953,1
159,9,1447,9661,56.2727,0.959869,1
160,9,968,4354,70.9444,0.193759,1
161,9,968,4344,79.8929,0.185638,1
162,9,968,4468,80.701,0.190987,1
163,9,968,4417,69.6824,0.207406,1
164,9,968,4457,87.3095,0.202988,1
165,6,519,3795,57.7647,0.162621,1
166,6,519,3791,58.907,0.166796,1
167,6,519,3850,54.6477,0.173732,1
168,6,519,3865,66.2692,0.168073,1
169,6,519,3985,51.9383,0.181716,1
170,3,1372,7163,73.9706,0.0642691,1
171,3,1372,7295,71.1463,0.0642046,1
172,3,1372,7236,66.6364,0.0621629,1
173,3,1372,7169,75.8462,0.0629798,1
174,3,1372,7230,63.6429,0.0648669,1
175,8,961,4248,85.4032,0.122289,1
176,8,961,4384,76.5775,0.144878,1
177,8,961,4416,81.0597,0.146063,1
178,8,961,4364,78.971,0.132558,1
179,8,961,4345,74.3115,0.135187,1
180,10,1430,9130,61.9778,1.38987,1
181,10,1430,9055,56.7941,1.33654,1
182,10,1430,9004,59.6364,1.25923,1
183,10,1430,9105,57.0254,1.28219,1
184,10,1430,9029,59.9058,1.30209,1
185,10,1554,6402,80.1447,0.294672,1
186,10,1554,6399,72.0641,0.316175,1
187,10,1554,6369,80.12,0.291374,1
188,10,1554,6321,76.2308,0.271301,1
189,10,1554,6384,76.924,0.286845,1
190,7,1687,10627,78.9146,0.522247,1
191,7,1687,10634,73.7143,0.526636,1
192,7,1687,10581,68.36,0.539395,1
193,7,1687,10648,70.2025,0.523615,1
194,7,1687,10527,81.5775,0.486492,1
195,10,308,2555,58.7639,0.25935,1
196,10,308,2548,56.88,0.247727,1
197,10,308,2537,49.5101,0.256198,1
198,10,308,2579,55.2955,0.263283,1
199,10,308,2522,48.3851,0.241345,1
200,8,1638,9423,84.6866,0.423009,1
201,8,1638,9278,79.2429,0.396093,1
202,8,1638,9378,81.806,0.462053,1
203,8,1638,9531,81.6087,0.440075,1
204,8,1638,9468,82.2121,0.424607,1
205,10,668,3225,60.0544,0.268525,1
206,10,668,3225,59.8421,0.272997,1
207,10,668,3171,62.3955,0.267553,1
208,10,668,3225,60.7217,0.284208,1
209,10,668,3243,54.5528,0.282781,1
210,4,681,3808,53.2444,0.0570898,1
211,4,681,3661,62.4444,0.049301,1
212,4,681,3830,64.5862,0.05783,1
213,4,681,3780,65.6727,0.054693,1
214,4,681,3780,54.38,0.053204,1
215,9,440,2269,69.8222,0.120682,1
216,9,440,2340,63.6064,0.14895,1
217,9,440,2316,67.835,0.134826,1
218,9,440,2278,76.2529,0.113915,1
219,9,440,2254,62.3039,0.120856,1
220,9,1248,5562,72.7018,0.309634,1
221,9,1248,5529,67.1299,0.363009,1
222,9,1248,5449,72.3478,0.322941,1
223,9,1248,5482,69.6914,0.309697,1
224,9,1248,5492,74,0.310328,1
225,4,1293,4702,135.45,0.0383887,1
226,4,1293,4683,190.059,0.0393966,1
227,4,1293,4646,194.467,0.0381591,1
228,4,1293,4704,166.562,0.0393099,1
229,4,1293,4788,191.538,0.0411694,1
230,4,685,4834,57.1607,0.0798085,1
231,4,685,4799,53.098,0.0793593,1
232,4,685,4824,50.9412,0.0786732,1
233,4,685,4842,47.2576,0.0795563,1
234,4,685,4943,47.541,0.0825654,1
235,9,1389,12431,44.7574,2.10011,1
236,9,1389,12474,43.8916,2.19952,1
237,9,1389,12593,44.0549,2.12293,1
238,9,1389,12421,42.1503,2.01387,1
239,9,1389,12485,47.0915,2.12988,1
240,3,389,1661,116.208,0.00786955,1
241,3,389,1720,103.087,0.00837645,1
242,3,389,1710,85.5,0.00862752,1
243,3,389,1700,84.5161,0.00826173,1
244,3,389,1743,99.3462,0.00851863,1
245,5,1356,4263,209.091,0.0486359,1
246,5,1356,4401,173,0.0515174,1
247,5,1356,4257,194.692,0.0453678,1
248,5,1356,4354,157.8,0.0497476,1
249,5,1356,4299,168.333,0.0468839,1
250,10,327,2809,43.9056,0.466939,1
251,10,327,2799,43.6364,0.438427,1
252,10,327,2792,45.6349,0.469441,1
253,10,327,2807,45.5031,0.452931,1
254,10,327,2762,45.3743,0.459781,1
255,6,1301,8612,49.0202,0.589357,1
256,6,1301,8723,47.4667,0.634289,1
257,6,1301,8826,52.8125,0.629401,1
258,6,1301,8892,50.2432,0.634413,1
259,6,1301,8722,49.7361,0.597451,1
260,3,754,3819,85.5,0.0252774,1
261,3,754,3777,83.0769,0.0247978,1
262,3,754,3775,80.3125,0.0263059,1
263,3,754,3872,71.9444,0.0260304,1
264,3,754,3863,87,0.0253199,1
265,10,1510,4713,167,0.107307,1
266,10,1510,4758,116.229,0.103331,1
267,10,1510,4861,118.474,0.10908,1
268,10,1510,4899,111.674,0.132485,1
269,10,1510,4866,120.896,0.12196,1
270,8,1330,7216,95.9545,0.354318,1
271,8,1330,7327,103.803,0.350334,1
272,8,1330,7195,96.4355,0.32027,1
273,8,1330,7252,103.733,0.35667,1
274,8,1330,7247,89.2154,0.35719,1
275,9,1707,9330,58.7464,1.06433,1
276,9,1707,9321,60.9407,1.11611,1
277,9,1707,9436,58.1356,1.08404,1
278,9,1707,9403,57.9275,1.11243,1
279,9,1707,9387,57.1567,1.128,1
280,7,382,2002,82.7101,0.0587197,1
281,7,382,2057,82.5946,0.0634316,1
282,7,382,1988,79.9865,0.0536136,1
